Reviewer,Rating (1-5),Ulasan
Irfon Aritonang,5,Ngak nyangka de hotel bumi ada tempat malan yang romantis banget dan menu traditional. Banyak wisatawan asing yang makan disana dengan harga sekitar 250 rb per orang saya rasa pantas dengan pilihan yang beragam dan suasana yg bagus
dwi puspitasari,4,"2x Nginep disini. Awal visit saat honeymoon and everything’s perfect. Kedua kali saat abis lebaran kemaren, semuanya dari makanan masih favourite, enak banget, staff and services are great, the room pun oke, but not with the toilet. Sepertinya ada yang bocor dan membuat lantai basah menggenang. Lantai ruangan pun agak kotor di beberapa bagian karpet. Seems I have to consider to revisit again. Please stay maximum effort Bumi…"
Ahmad Yusfi Bakhtiar,5,"Surabaya City Resort, sebuah hotel bintang lima yang meskipun tergolong jadul, tetap memberikan pengalaman menginap yang menyenangkan.  Pelayanannya luar biasa—stafnya sangat ramah, sigap, dan helpful. Dari proses check-in sampai check-out, semuanya terasa nyaman dan penuh keramahan khas Jawa Timur.  Yang paling bikin berkesan adalah area makanannya. Konsepnya seperti sentra kuliner Indonesia, lengkap dengan “rombong-rombong” untuk tiap menu khas daerah. Rasanya juga enak-enak, cocok buat pencinta kuliner lokal.  Kamar hotelnya sangat nyaman, bersih, dan saya beruntung dapat view kota yang cantik.  Cuma satu yang agak disayangkan: TV di kamar masih model biasa, belum smart TV, jadi belum bisa akses Netflix atau YouTube. Tapi selain itu, semuanya memuaskan dan layak direkomendasikan, terutama kalau suka hotel dengan nuansa klasik yang hangat."
Tassya Firdausi,5,"Hotel yang sudah berdiri cukup lama di jantung kota Surabaya dan baru mendapat kesempatan menginap di hotel ini 2 minggu lalu. Sangat sangat puas menginap disini. Kamarnya sangat nyaman plus dapat pemandangan kota Surabaya. Pelayanan sangat baik. Lokasi sangat2 strategis. Pilihan menu breakfast sangat bervariasi dan enak. Tamannya indah disertai banyak air mancur. Alat gym terawat dan lengkap. Kolam renang juga bagus.  Minusnya cuma handuk dikamar terlihat kusam dan tidak wangi. Sama pelayanan di restoran saat breakfast, klo mendekati waktu time out, sebaiknya diinformasikan terlebih dahulu ke para pengunjung sebelum dikemasin semua makannya."
Eric Herlambang,3,"(+): Lokasi bagus di tengah kota, lift 4 dan cepat naik turunnya, kamar luas, ada bathtub dengan shower terpisah, bed masih lumayan nyaman  walau sdh terasa berumur dan BF yg lengkap. (-): sikat gigi hanya diberi satu per hari selama 2 hari, hari pertama hanya diberikan 1 handuk dan 1 keset sebelum diminta, kamar mandi banyak yg catnya mengelupas, kamar berdebu, bantal perlu diganti karena sdh kempes dan keras ga sesuai utk hotel bintang 3 sekalipun. Minta tambahan bantal karena hal di atas dikenai charge 50 rb. Sprei tidak sampai ujung kaki. Hari kedua kopi dan teh tidak direfill. Secara keseluruhan ga sesuai dg harga yg dibayar maupun ukuran kelas hotelnya."
prim de,3,"Kesini untuk buffet buka bersama puasa kmrn. Menu nya komplit banget banyak lengkap beraneka ragam dan banyak spot live cooking, rasa lumayanlah, hanya saja sekelas hotel bintang seperti ini malah ga ada yogurt nya.  Masjid nyaman dan luas kl buat solat magrib n isya.  Satu2nya hal menjengkelkan adalah parkir nya. Costumer kek kt masih kena tarif parkir per jam wkwkwk. Amatiran banget, br ini di hotel berbintang ditarik parkir, perjam pula edan 😂"
Yulaicha Mansur,5,"Pelayanan cepat, staff nya ramah, pertama sampai disana smpt bingung, nyari lobi sama lift, dr pintu masuk ke lobi agk lumayan, saya nginep Bw ibu sy lansia. Kamar besar, tp agak krg strategis penempatan nya. Ada kulkas, setrika, lemari, teko heater, air panasnya mantul, amenities lengkap, sampe disediakan cukuran ketiak jg.  memakai lantai karpet. Jendela luas dan besar. Nyaman tp sy Bru kali ini ga Bs tidur di hotel. Bru Tdr jam 3 pagi. Kasurnya empuk tp kek srg ditiduri JD agak mblesek. Kek prlu di upgrade kasurnya. Makanan nya lengkap, tinggal pilih. Makan BS outdoor atau indoor dgn view hutan bali. Bagus bgt buat foto2."
Gani Kurniawan,5,"Bumi Surabaya City Resort didirikan pada tahun 1996 dengan nama awal Hotel Bumi Wiyata, hotel ini kemudian berganti nama menjadi Grand Hyatt Surabaya sebelum akhirnya dikenal sebagai Bumi Surabaya City Resort pada tahun 2014 setelah renovasi besar-besaran. Hotel ini memiliki total 242 kamar yang terdiri dari berbagai tipe, mulai dari Classic Room hingga Classic Penthouse, yang dirancang dengan konsep resort hijau di tengah kota, memberikan suasana asri dan nyaman bagi para tamu."
yankes ngawi,5,"Kamar nya nyaman 🫰 View nya kereenn👍👍 Masakan restoran nya yummi (banyak pilihan menu)😋😋 Petugas nya sigap dan selalu siap 👍 Hanya lorong dari parkiran mobil menuju resto jika malam kurang terang, terlalu temaram"
indana zulfa,5,"Salah satu hotel tertua di Surabaya lokasi strategis, dekat Tunjungan Plaza. Nuansa hotel ala-ala Bali, asri sekali. Hotelnya bersih, kamar luas. Makanannya enak-enak, saya menginap dengan suami dan 2 anak (5th dan 3th). untuk anak tidak dikenakan biaya tambahan untuk bf nya. Fasilitas hotel cukup lengkap, mayoritas turis yg menginap disini"
Putu Mayang,5,"Hotel di tengah kota surabaya, sangat adem karena banyak pepohonan, tidak terasa seperti sedang ada di surabaya yang panas. Hotelnya sangat indonesia.  Kamarnya bagus dan sangat luas. Amenities lengkap. Bersih juga.  Breakfast sangat lengkap juga, rasanya pun enak.  Hotelnya hotel lama, semoga tetap terjaga kualitas barang di kamar, kebersihan kamar, keramahan staff dan rasa makanan breakfast nya."
Ika Rakhmawati Hilal,5,"Berada di jantung kota Surabaya, hotel ini menawarkan pesona tersendiri. Yakni hotel dengan konsep tropical resort dengan taman outdoor yang berhawa segar. Rasanya seperti tidak berada di kota Surabaya yang terkenal dengan suhunya yang telah relatif panas. Pepohonan di taman membuat suasana hotel menjadi berbeda.  Untuk kamar, kami mendapatkan kamar berukuran besar dan nyaman. Jendela kamar berukuran besar sehingga bisa melihat pemandangan luar.  Servisnya oke, staf hotel ramah dan komunikatif.  Food and beverage juga oke. Mulai dari sarapan gaya Western, Eastern, Nusantara. Lokasi restoran bisa memilih indoor maupun outdoor yang berada di taman tropis.  Secara keseluruhan hotel ini bagus dan menyenangkan. Great experience here."
ica yani,4,"Disana banyak tumbuhan jadi harus sering dibersihkan daun yg berguguran. Lampu kamar redup harusnya lampu hotel perkotaan warna putih. Jendela kamar kurang tebal & AC tidak seberapa terasa meskipun sudah di set paling dingin. Breakfast banyak pilihan menu tetapi kurang condiment, room service rasanya lumayan. Pelayanan bagus bisa dipertahankan untuk semua karyawannya. Banyak spot foto menarik & estetik di tiap sudut hotel."
Silla Diyah,5,"Hotel Tengah kota selain Lokasi nya yg strategis.. suasana nya asri & sejuk  hotel ini sllu jd tujuan keluarga kami untuk holiday.. Ya walaupun sudah lumayan tua ya.. tp overall baik sih Pelayanan ramah dr awal ceck in.. Suasana Lobby cukup bikin kami nyaman Kebetulan kami dpt kmr yg city view.. Selama menginap pun kebersihan kamar kami terjaga dg baik, Paling seneng kalau kmr kami dibersihkan oleh Petugas Cleaning klo gk salah namanya ""  YUDI "" beliau ramah, cekatan, Rapi terimakasih.. :)"
andreawan santoso,5,"Tiap kali ke Surabaya wajib nginep sini hampir sebulan sekali. Kamar terutama kamar mandi luas,kolam renang air panas bersih,sarapan yang banyak macam nya staff ramah"
Sulistyo Budi Alanshory,5,Kami sangat bahagia bisa menikmati layanan di Hotel Bumi surabaya Nyaman tempatnya asri . Ballromnya Nyaman . Kqmarnya luxury. Berada di tengah Kota surabaya.
Irwanto Sucipto,5,"Semuanya OK, kekhawatiran sya terhadap bad review baik di google ataupun d app traveloka (krn sya biasanya pakai book pakai app traveloka/tiket.com) tidak terbukti. Mnurut sya stiap ada bad review sudah diperbaiki dgn baik, Kamarnya meskipun terkenan kuno tp sangat terawat dgn baik, tidak kalah saing dgn hotel2 baru tapi hrus ttp dirawat spy ga kalah saing. Makanan oke, kmrn sya jg semi2 staycation jd anak dan istri happy jg nginap disana Kolam renang smoga yg diatas dpt diaktifkan krn bagus juga. Pelayanan jg baik, ramah2. Recommended 🫶"
Raditya Hendra Pratama,5,"Hotel yang sangat nyaman yang terletak di tengah kota Surabaya. Kamarnya bersih, luas, nyaman, dan terdapat bath tub juga. Restorannya juga cukup luas dan menyajikan banyak masakan saat breakfast. Pokoknya hotel yang tak akan pernah terlupa."
sri rukmiii,5,"Perfect hotel to staycation. Semua staff baik dengan respon yang cepat dengan breakfast yg banyak menunya.  Hanya sedikit saran yang mungkin agak sulit buat manajemen. Pengalaman saya di Hari Sabtu pagi, ada serombongan ibu2 yang membuat tiktok di lobi ke arah tempat breakfast. Karena mereka berjumlah banyak dan menyebar sedikit banyak menganggu kenyamanan hotel yg kami beli. Bahkan kami diminta menyingkir krn mereka mau tik tokan. Padahal kami hanya  berjalan melewati kerumunan mereka menuju tmpt sarapan. Mudah2an utk rombongan seperti itu bisa dikondisikan supaya tdk chaos. Terimakasih."
Yana Gilang,3,Semua nya oke kecuali kamar bau rokok tidak hilang padahal pesan kamar no smoking tetapi bau asap roko di dalam kamar menempel. Mohon untuk di perbaiki karena mengganggu kenyamanan.
kasha widodo,5,"Menginap 3 hari 2 malam dengan 2 kamar connecting, dan 2 kamar biasa. Total 4 kamar. Breakfast banyak variasi dan rasanya enak. Fasilitas di kamar oke banget. Ada bathub dan shower terpisah. Space di dalam kamar juga bisa. Aktivitas di hotel ada kolam renang, gym, lapangan tenis, dan kolam ikan."
arya sidharta,5,"Saya pertama kali menginap di Bumi Surabaya Hotel, dengan kesan yang sungguh menyenangkan.  Suasana hotelnya sungguh nyaman, kamar yang cukup luas dengan layout ditata baik, dengan staf yang ramah dan sigap melayani.  Hotel yang bernuansa modern tradisional Jawa degan taman tertata rapih yang rimbun rindang dihiasi ornamen yang indah.  Pagi dimulai dengan sarapan di restoran yang keren,  ditemani musik tradisional Jawa ... jika kita makan di area outdoor, selain suara musik, kita akan ditemani oleh suara tongeret bertalu-talu, beraneka burung liar terutama burung tekukur yang dengan santainya mencari makan remah2 di sekitar tempat makan tamu serta tupai yang berseliweran di di dahan dan pagar pembatas dengan taman ... dengan menu makanan yang juga enak2 dan beragam.  Malam sebelum tidur, biasanya saya berenang di kolam outdoor lantai 3 yang juga punya suasana keren.  ====  I first stayed at Bumi Surabaya Hotel, with a very pleasant impression.  The hotel atmosphere is very comfortable, the rooms are quite spacious with a well-arranged layout, with friendly and responsive staff.  This hotel has a modern traditional Javanese feel with a neatly arranged garden that is lush and decorated with beautiful ornaments.  The morning begins with breakfast at a beautiful restaurant, accompanied by traditional Javanese music ... if we eat in the outdoor area, besides the sound of music, we will be accompanied by the sound of cicadas, various wild birds, especially turtle doves that casually look for crumbs around the guest dining area and squirrels that roam the branches and fences with the garden ... with a menu of food that is also delicious and varied.  The night before going to bed, I usually swim in the outdoor pool on the 3rd floor which also has a cool atmosphere."
Dini Haris S,4,"Kamarnya aga gelap kalo malam. Even lampu dinyalain. Cek in 2 kamar yang kamar satunya ameniti kurang lengkap. Hari pertama cuma dapet handuk 1 aja. Untuk ukuran bintang 5 tv kurang gede :(  Kolam renang bagus, cuma aku kebiasa renang tanpa kaporit sih jadi aga gimana gitu  😁 o ya kamar bilasnya ngga banget ya maaf 😔🙏 karena pesing huhu  Tapi selain kritik diatas semuanya OK💗😻"
Sharky Oks,5,"Hotel Bumi Surabaya, sudah sangat terkenal sekali bukan hanya warga Jawa Timur tapi pasti masyarakat Indonesia yg pernah datang ke Kota Surabaya pasti tau atau minimal pernah mendengar keberadaan hotel bintang 5 ini. Karena memang termasuk paling senior di bidang perhotelan di Surabaya karena berdiri sudah lama serta letaknya yg sangat strategis persis di jantung kota Surabaya tidak jauh dari Pusat Mall Tunjungan Plaza yg terkenal serta tidak jauh dari jl. Tunjungan yg sangat bersejarah dan ikonik. Untuk fasilitasnya mewah sekali dan berkelas memang. Area kolam renang, fitnes dan spa di lt 3 yg ok punya. Ada area hutan mini dan kolam dengan air mancurnya yg pas untuk nongkrong, gak terasa padahal ini di tengah kota. Ada cafenya juga yg pemandangannya langsung ke hutan mini ini juga. Untuk kamarnya juga mewah lhoo, rapi terus aromanya aman kok. Nah yg sangat khas adalah momen sarapan paginya di resto Arum Manis nya wih lengkap menunya, sampe bingung jadi butuh waktu untuk mencicipi semuanya,, seru pokoknya. Pelayanan dan mbak dan mas nya juga ramah” banget dan sangat responsif. Area parkir juga luas, aman lah. Jangan lupa daftarkan plat no kendaraan ke resepsionis ya biar free parking. Waktu kita tiba hotel di pintu gerbang waktu pemeriksaan juga petugasnya menyapa dengan ramah kemudian dilanjutkan di area lobby wih petugasnya juga ramah semuanya, securitynya ramah” tapi tetap tegas, salut👍🏻👍🏻👍🏻. Mungkin ada beberapa masukan ya, namun tidak menurunkan apapun. Terkait handuk mungkin bisa ditambah jumlahnya apalagi bisa ditambahkan handuk kecil untuk keset di kamar mandi. Kemudian lampu atau penerangan di kamar bisa ditambah ya, menurutku sih masih agak gelap ya. Lift juga kalau bisa pada jam” sibuk (check in/check out time, waktu sarapan) ke empat lift bisa difungsikan semuanya, kalau sedang jam tidak sibuk bisa mungkin hanya 2 yg difungsikan. Untuk kolam ikan mungkin bisa dikurangi lumutnya ya, walaupun sebetulnya itu bagus karena terlihat alami. Nah untuk TV kamar mungkin bisa di update agak besaran ya☺️🙏🙏. Kemudian ada satu sih yg mengganggu mungkin bisa buat improve terkait apabila pengunjung ada memiliki catatan permintaan melalui jasa pemesanan hotel dapat menjadi atensi manajemen hotel misal permintaan kamar yg terhubung atau jenis tempat tidurnya dll. Semoga Hotel Bumi Surabaya terus berkembang maju dan mengikuti terus update perkembangan perhotelan."
Irvan Verdian,5,"Pelayanan hotelnya sangat bagus, namun sayang gak semua kamar dapat kamar mandi yang ada viewnya. Seperti saya yg di kamar 752 klaw tidak salah. Untuk TV nya mungkin sudah bisa di upgrade ke smart TV."
Rahim Frihatna Saputra,5,Hotel yang sangat nyaman dan tenang untuk menemani perjalanan bisnis selama 3 hari. Bakal selalu balik lagi karena kenyamanan dan service terbaik nya.
Dicky Pradana,1,"lagi kerja disini trus kaget bgt tarif parkirnya 15rb🥲 padahal tergolong sebentar dari jam 11 siang sampai jam 4 sore bukan yg seharian bgt. Satpam di area parkir nggak ada yg jaga sama sekali, masuk ke lobbynya jauh bgt, pantesan hotelnya sepi & untung jarang ngejob disini. Nggak mau lagi deh ngejob disini😭😭 …"
Novita Rusdiyani,4,"Salah satu hotel legend di Surabaya, kerasa banget dari vibes kamarnya Ukuran kamar sangat luas, dengan kamar mandi dan ruang closet yg besar Yang perlu jadi perhatian itu penerangan di dalam kamar, bener-bener remang. Untuk alat mandi seperti sabun dan shampo agaknya bisa diberi yang lebih modern  Yang juara dari hotel ini adalah suasana saat sarapan di ruang terbuka, ga berasa lagi di Surabaya hehe karena adem, rimbun, banyak binatang kecil juga yg dilepas seperti tupai, makanannya cukup bervariasi. Fasilitas olahraga sangat okee, kolam renangya besar dan untuk anak-anak dipisah dengan kolam yg dangkal. Ada lapangan tenis juga  Pelayanan super ramah dan helpful Lokasi di tengah kota, dekat kemana-mana, ada halte juga di depannya. Tempat parkir mobil juga sangat luas. Overall nyaman nginap disini"
Bro Feb,5,"Hotel Bagus, dengan posisi strategis ditengah pusat kota hanya 10 menit jalan kaki ke pusat shoping center Mall tunjungan Plaza. Sangat Rekomended."
Rifqie Ahmad,5,"Hotel seperti bangunan lama tapi bersih dan nyaman. Kamarnya luas, lingkungannya adem seger meskipun di tengah kota. Cocok untuk staycation keluarga"
Monica Yusuf,2,"Tanggal 23 Desember kembali balik ke Bumi Surabaya untuk short getaway sama keluarga dalam rangka merayakan Natal. Ini kali ke dua kami sekeluarga menginap di resort/hotel ini setelah 2022 sempat menginap dalam rangka menikah. Sayangnya di kesempatan kali ini pengalaman saya jauh dari kata puas.  Kebetulan trip kali ini saya bawa bayi di mana bawaan pastinya luar biasa banyak termasuk bawa stok MPASI beku dan ASIP.  Major hiccup karena di hari pertama kami ternyata dapat kamar yang ACnya rusak dan kulkasnya pun nggak dingin. Akhirnya setelah beberapa jam coba menunggu AC yang nggak kunjung dingin, kami dipindahkan ke kamar lain. Masalahnya adalah bawaan kami banyak sekali dan jam pindah kamar bertepatan dengan jam anak tidur malam. Akhirnya semua jadi serba kacau. Jam tidur anak kacau dan orang tuanya juga jadi cape 2x.  Major hiccup ke dua adalah terkait penitipan/storing MPASI beku. Karena kulkas di kamar nggak cukup dingin, seperti kebanyakan hotel, Bumi Surabaya menawarkan fasilitas titip makanan beku di freezer/kulkas mereka. No biggie, really, sampai saatnya saya mau klaim titipan saya. Entah kenapa setiap mau minta diambilkan makanan titipan saya, manajemen selalu slow response, entah karena operator dan/atau receptionist fully occupied, staff kitchen atau receptionist nggak tahu saya titip makanan, kurang koordinasi antar bagian di manajemen hotel dan sebagainya. Pendek cerita, setiap kali anak saya mau makan, kami harus berulang kali hubungi operator dan/atau receptionist. Pernah saya juga harus sampai marah-marah di receptionist supaya makanan saya diantar ke kamar saya. Setiap kali saya mau klaim makanan, prosesnya butuh waktu minimum 30 menit sampai makanannya tiba di kamar. Orang tua yang punya anak kecil pasti paham bagaimana tidak mungkinnya bernegosiasi dengan anak kecil yang lapar. Anak sampai pernah harus makan snack dulu karena sudah terlampau lapar.  Seluruh pengalaman buruk ini  menumpuk jadi satu selama kami menginap di Bumi Surabaya kali ini. Liburan ini jangankan membuat kami lebih santai, alih-alih malah membuat kami seperti olahraga batin.  Manajemen minta maaf memang di hari terakhir kami ada di hotel, bahkan sampai memberikan hampers permintaan maaf, yang jujur saya hargai. Tapi yang namanya industri perhotelan, layanan nomor satu seharusnya. All in all, ini adalah kali terakhir saya menginap di Bumi Surabaya. Sayang sekali karena lagi-lagi saya sebenarnya pernah punya pengalaman baik sekali menginap di sini. Lokasi dan fasilitas juga sebenarnya baik, sayang tidak diurus dengan baik oleh manajemennya. Buat keluarga yang bawa anak kecil lebih baik berpikir 2x sebelum menginap di sini.  -foto2 diambil dari kunjungan tahun 2022-"
Kadek Supartini,4,"Hotelnya bersih, ada taman yg hijau jadi berasa suasana yg tenang.. Kamarnya bersih namun beberapa furniture perlu diperbaharui, pelayanan ramah, belboy sangat membantu.. Akan kembali lagi.."
M Fauzan,4,"Hotel galery yg unik lekat dg budaya Jawa, hotel teduh dan nyaman dengan fasilitas pendukung yg lengkap (cafe, restoran, butik, taman anak & seni dll)."
virda marsalina,2,"manajemen resto kurang siap untuk mengadakan bukber, kalo memang kuota resto tidak cukup kenapa masih terima guest? saya rombongan satu rekan kerja tapi mejanya terpisah, harus complain dulu sama spvnya baru mejanya disatukan, seharusnya bisa mikir logis kalo rombongan pasti minta kumpul di satu area"
D,5,"Hotel Bintang 5 pada zamannya, sampai sekarang masih terlihat mewah dan pelayanan bagus. Dr pintu masuk sampai backoffice pelayanan ramah. Untuk breakfast cukup baik. Terima kasih."
Prameida Aisha,2,"pertama kali masuk agak ribet karna ke lobbynya jauh, temanya hotel klasik kuno yang vibesnya horror karna keknya serinh dikasih makan, dpt kmr lantai 13 auranya ga main2 emg horror soalnya tv mati sendiri n kmr mandi nutup sendiri, langsung check out pagi itu juga karna ga betah😫 …"
Angelica Maysie,4,"Hotel, kamar, dan service sangat baik. namun hotel ini sangat ‘pelit’. fasilitas lengkap tetapi tidak dapat digunakan (contoh: lapangan tennis harus bayar lagi padahal sebagai tamu dan sudah menginap)"
NurulY F,4,"Bangunan hotel seperti hotel lama pada umumnya yg membedakan di sini masih cukup terawat meski ga seperti hotel baru yang lebih convinience ya. Rata2 hotel baru colokan selalu ada di smping tempat tidur jd enak klo ngecharge gampang tp di sini lmyan ada perjuangannya kudu nunduk2 cari colokan 😅 kmar mandi ada bathtubnya ya oke aja, seperti bathtub lama pada umumnya meskipun ini hotel ⭐ 5 ya. Utk restaurantnya cukup luas, ada area makan outdoor dg pemandangan kebun. Hotel ini mirip dengan Hy**t atau Shera**n jogja scra konsep. Hotelnya cukup luas, banyak pohon, asri, deket dg pusat kota, ada tennis courtnya dan kolam renang. Anak sy tp ga renang di sini krn kita cm semalam. Lntai hotel pakai full karpet dn jendela fix window jd cukup kedap dan nyaman utk tidur. Utk extra bed cukup mahal ya di rate 500k/night. Dan anak di atas 6y sudah ada charge utk breakfast sebesar 100ribuan. Pilihan breakfastnya standar hotel pd umumnya, rasa B aja. Ga ada yg special. Waktu sy nginap di sini sepertinya ada artis dr china, bnyk bgt kamera dimana2 pas malam sy mau pergi."
Fitriyana Marpaung,5,"Sudah kesekian kali tetap bagus dan luar biasa pelayanannya... tapi ini pengalaman yg luar biasa, mungkin lagi capek2nya... Mulai dari reservasi inap, dadakan bukber, sahur, tantrumnya anak2, sampai CO, semua dibantu dan dilayani Tidak perlu bingung bukber ajak anak2... trmksh mas dan mbknya... Pelayanan memuaskan semua, smart, senyum semua, rapi, enak dilihat, semua diarahkan dan dibantu semua... Trmksh mas CS, security dan ada bapak2 yg bantuin anak saya, trmksh kak pingkan(seinget saya) sudah bantuin CI, bukber dadakan dan CO semua proses cepat, tidak menunggu lama... Bakal recom ke teman2... Trmksh..."
