Rating (1-5),Ulasan,text_clean,text_clean_stemming
5,Ngak nyangka de hotel bumi ada tempat malan yang romantis banget dan menu traditional. Banyak wisatawan asing yang makan disana dengan harga sekitar 250 rb per orang saya rasa pantas dengan pilihan yang beragam dan suasana yg bagus,tidak menyangka deh hotel bumi ada tempat malan yang romantis banget dan menu traditional banyak wisatawan asing yang makan disana dengan harga sekitar ribu per orang saya rasa pantas dengan pilihan yang beragam dan situasi yang bagus,sangka bumi malan romantis menu traditional wisatawan asing makan harga pilih agam situasi
4,"2x Nginep disini. Awal visit saat honeymoon and everything’s perfect. Kedua kali saat abis lebaran kemaren, semuanya dari makanan masih favourite, enak banget, staff and services are great, the room pun oke, but not with the toilet. Sepertinya ada yang bocor dan membuat lantai basah menggenang. Lantai ruangan pun agak kotor di beberapa bagian karpet. Seems I have to consider to revisit again. Please stay maximum effort Bumi…",x menginap disini awal visit saat honeymoon and everything s perfect kedua kali saat habis lebaran kemaren semuanya dari makanan masih favourite enak banget staff and services are great the room pun oke but not with the toilet sepertinya ada yang bocor dan membuat lantai basah menggenang lantai ruangan pun agak kotor di beberapa bagian karpet seems i have tapi consider tapi revisit again please stay maximum effort bumi,inap visit honeymoon and everything perfect habis lebaran kemaren makan favourite and services are great the room but not with the toilet bocor lantai basah genang lantai ruang kotor karpet seems have consider revisit again please stay maximum effort bumi
5,"Surabaya City Resort, sebuah hotel bintang lima yang meskipun tergolong jadul, tetap memberikan pengalaman menginap yang menyenangkan.  Pelayanannya luar biasa—stafnya sangat ramah, sigap, dan helpful. Dari proses check-in sampai check-out, semuanya terasa nyaman dan penuh keramahan khas Jawa Timur.  Yang paling bikin berkesan adalah area makanannya. Konsepnya seperti sentra kuliner Indonesia, lengkap dengan “rombong-rombong” untuk tiap menu khas daerah. Rasanya juga enak-enak, cocok buat pencinta kuliner lokal.  Kamar hotelnya sangat nyaman, bersih, dan saya beruntung dapat view kota yang cantik.  Cuma satu yang agak disayangkan: TV di kamar masih model biasa, belum smart TV, jadi belum bisa akses Netflix atau YouTube. Tapi selain itu, semuanya memuaskan dan layak direkomendasikan, terutama kalau suka hotel dengan nuansa klasik yang hangat.",surabaya city resort sebuah hotel bintang lima yang meskipun tergolong jadul tetap memberikan pengalaman menginap yang menyenangkan pelayanannya luar biasa stafnya sangat ramah sigap dan helpful dari proses check in sampai check out semuanya terasa nyaman dan penuh keramahan khas jawa timur yang paling bikin berkesan adalah area makanannya konsepnya seperti sentra kuliner indonesia lengkap dengan rombong rombong untuk tiap menu khas daerah rasanya juga enak enak cocok buat pencinta kuliner lokal kamar hotel sangat nyaman bersih dan saya beruntung dapat view kota yang cantik cuma satu yang agak disayangkan tv di kamar masih model biasa belum smart tv jadi belum bisa akses netflix atau youtube tapi selain itu semuanya memuaskan dan layak direkomendasikan terutama kalau suka hotel dengan nuansa klasik yang hangat,surabaya city resort buah bintang golong jadul alam inap senang layan staf ramah sigap helpful proses asa penuh ramah khas jawa timur kesan area makan konsep sentra kuliner indonesia lengkap rombong rombong menu khas daerah cocok cinta kuliner lokal bersih untung view kota cantik sayang tv model smart tv akses netflix youtube muas layak rekomendasi utama suka nuansa klasik hangat
5,"Hotel yang sudah berdiri cukup lama di jantung kota Surabaya dan baru mendapat kesempatan menginap di hotel ini 2 minggu lalu. Sangat sangat puas menginap disini. Kamarnya sangat nyaman plus dapat pemandangan kota Surabaya. Pelayanan sangat baik. Lokasi sangat2 strategis. Pilihan menu breakfast sangat bervariasi dan enak. Tamannya indah disertai banyak air mancur. Alat gym terawat dan lengkap. Kolam renang juga bagus.  Minusnya cuma handuk dikamar terlihat kusam dan tidak wangi. Sama pelayanan di restoran saat breakfast, klo mendekati waktu time out, sebaiknya diinformasikan terlebih dahulu ke para pengunjung sebelum dikemasin semua makannya.",hotel yang sudah berdiri cukup lama di jantung kota surabaya dan baru mendapat kesempatan menginap di hotel ini minggu lalu sangat sangat puas menginap disini kamar sangat nyaman plus dapat pemandangan kota surabaya pelayanan sangat baik lokasi sangat sangat strategis pilihan menu breakfast sangat bervariasi dan enak tamannya indah disertai banyak air mancur alat gym terawat dan lengkap kolam renang juga bagus minusnya cuma handuk dikamar terlihat kusam dan tidak wangi sama pelayanan di restoran saat breakfast kalau mendekati waktu time out sebaiknya diinformasikan terlebih dahulu ke para pengunjung sebelum dikemasin semua makannya,jantung kota surabaya inap minggu puas inap plus pandang kota surabaya layan strategis pilih menu variasi indah air mancur alat gym awat lengkap renang minus handuk kusam wangi layan time informasi unjung masin makan
3,"(+): Lokasi bagus di tengah kota, lift 4 dan cepat naik turunnya, kamar luas, ada bathtub dengan shower terpisah, bed masih lumayan nyaman  walau sdh terasa berumur dan BF yg lengkap. (-): sikat gigi hanya diberi satu per hari selama 2 hari, hari pertama hanya diberikan 1 handuk dan 1 keset sebelum diminta, kamar mandi banyak yg catnya mengelupas, kamar berdebu, bantal perlu diganti karena sdh kempes dan keras ga sesuai utk hotel bintang 3 sekalipun. Minta tambahan bantal karena hal di atas dikenai charge 50 rb. Sprei tidak sampai ujung kaki. Hari kedua kopi dan teh tidak direfill. Secara keseluruhan ga sesuai dg harga yg dibayar maupun ukuran kelas hotelnya.",lokasi bagus di tengah kota lift dan cepat naik turunnya kamar luas ada bathtub dengan shower terpisah bed masih lumayan nyaman walau sudah terasa berumur dan bf yang lengkap sikat gigi hanya diberi satu per hari selama hari hari pertama hanya diberikan handuk dan keset sebelum diminta kamar mandi banyak yang catnya mengelupas kamar berdebu bantal perlu diganti karena sudah kempes dan keras tidak sesuai untuk hotel bintang sekalipun meminta tambahan bantal karena hal di atas dikenai charge rb sprei tidak sampai ujung kaki hari kedua kopi dan teh tidak direfill secara keseluruhan tidak sesuai dengan harga yang dibayar maupun ukuran kelas hotelnya,kota lift cepat turun luas bathtub shower pisah bed lumayan asa umur bf lengkap sikat gigi handuk keset mandi cat kelupas debu bantal ganti kempes keras sesuai bintang bantal charge rb sprei ujung kaki kopi teh direfill sesuai harga bayar ukur kelas
3,"Kesini untuk buffet buka bersama puasa kmrn. Menu nya komplit banget banyak lengkap beraneka ragam dan banyak spot live cooking, rasa lumayanlah, hanya saja sekelas hotel bintang seperti ini malah ga ada yogurt nya.  Masjid nyaman dan luas kl buat solat magrib n isya.  Satu2nya hal menjengkelkan adalah parkir nya. Costumer kek kt masih kena tarif parkir per jam wkwkwk. Amatiran banget, br ini di hotel berbintang ditarik parkir, perjam pula edan 😂",kesini untuk buffet buka bersama puasa kmrn menu ya komplit banget banyak lengkap beraneka ragam dan banyak spot live cooking rasa lumayanlah hanya saja sekelas hotel bintang seperti ini malah tidak ada yogurt nya masjid nyaman dan luas kalau buat solat magrib n isya satunya hal menjengkelkan adalah parkir nya costumer kayak kita masih kena tarif parkir per jam wkwkwk amatiran banget baru ini di hotel berbintang ditarik parkir perjam pula edan,kesini buffet buka puasa menu komplit lengkap aneka ragam spot live cooking lumayan kelas bintang yogurt masjid luas solat magrib isya jengkel parkir costumer tarif parkir amatir bintang tarik parkir edan
5,"Pelayanan cepat, staff nya ramah, pertama sampai disana smpt bingung, nyari lobi sama lift, dr pintu masuk ke lobi agk lumayan, saya nginep Bw ibu sy lansia. Kamar besar, tp agak krg strategis penempatan nya. Ada kulkas, setrika, lemari, teko heater, air panasnya mantul, amenities lengkap, sampe disediakan cukuran ketiak jg.  memakai lantai karpet. Jendela luas dan besar. Nyaman tp sy Bru kali ini ga Bs tidur di hotel. Bru Tdr jam 3 pagi. Kasurnya empuk tp kek srg ditiduri JD agak mblesek. Kek prlu di upgrade kasurnya. Makanan nya lengkap, tinggal pilih. Makan BS outdoor atau indoor dgn view hutan bali. Bagus bgt buat foto2.",pelayanan cepat staff ya ramah pertama sampai disana sempat bingung mencari lobi sama lift dari pintu masuk ke lobi agak lumayan saya menginap bawa ibu saya lansia kamar besar tapi agak krg strategis penempatan nya ada kulkas setrika lemari teko heater air panasnya mantul amenities lengkap sampai disediakan cukuran ketiak jg memakai lantai karpet jendela luas dan besar nyaman tapi saya baru kali ini tidak bisa tidur di hotel baru tidur jam pagi kasurnya empuk tapi kayak srg ditiduri jadi agak mblesek kayak perlu di upgrade kasurnya makanan ya lengkap tinggal pilih makan bisa outdoor atau indoor dengan view hutan bali bagus banget buat foto,layan cepat ramah bingung lobi lift pintu lobi lumayan inap bawa lansia krg strategis kulkas setrika lemari teko heater air panas mantul amenities lengkap sedia cukur ketiak lantai karpet jendela luas tidur tidur pagi kasur empuk srg tidur mblesek upgrade kasur makan lengkap tinggal pilih makan outdoor indoor view hutan bal foto
5,"Bumi Surabaya City Resort didirikan pada tahun 1996 dengan nama awal Hotel Bumi Wiyata, hotel ini kemudian berganti nama menjadi Grand Hyatt Surabaya sebelum akhirnya dikenal sebagai Bumi Surabaya City Resort pada tahun 2014 setelah renovasi besar-besaran. Hotel ini memiliki total 242 kamar yang terdiri dari berbagai tipe, mulai dari Classic Room hingga Classic Penthouse, yang dirancang dengan konsep resort hijau di tengah kota, memberikan suasana asri dan nyaman bagi para tamu.",bumi surabaya city resort didirikan pada tahun dengan nama awal hotel bumi wiyata hotel ini kemudian berganti nama menjadi grand hyatt surabaya sebelum akhirnya dikenal sebagai bumi surabaya city resort pada tahun setelah renovasi besar besaran hotel ini memiliki total kamar yang terdiri dari berbagai tipe mulai dari classic room hingga classic penthouse yang dirancang dengan konsep resort hijau di tengah kota memberikan situasi asri dan nyaman bagi para tamu,bumi surabaya city resort bumi wiyata ganti grand hyatt surabaya kenal bumi surabaya city resort renovasi milik total tipe classic room classic penthouse rancang konsep resort hijau kota situasi asri tamu
5,"Kamar nya nyaman 🫰 View nya kereenn👍👍 Masakan restoran nya yummi (banyak pilihan menu)😋😋 Petugas nya sigap dan selalu siap 👍 Hanya lorong dari parkiran mobil menuju resto jika malam kurang terang, terlalu temaram",kamar ya nyaman view ya kereenn masakan restoran ya yummi banyak pilihan menu petugas ya sigap dan selalu siap hanya lorong dari parkiran mobil menuju restoran jika malam kurang terang terlalu temaram,view kereenn masakan yummi pilih menu tugas sigap lorong parkir mobil malam terang temaram
5,"Salah satu hotel tertua di Surabaya lokasi strategis, dekat Tunjungan Plaza. Nuansa hotel ala-ala Bali, asri sekali. Hotelnya bersih, kamar luas. Makanannya enak-enak, saya menginap dengan suami dan 2 anak (5th dan 3th). untuk anak tidak dikenakan biaya tambahan untuk bf nya. Fasilitas hotel cukup lengkap, mayoritas turis yg menginap disini",salah satu hotel tertua di surabaya lokasi strategis dekat tunjungan plaza nuansa hotel ala ala bali asri sekali hotel bersih kamar luas makanannya enak enak saya menginap dengan suami dan anak th dan th untuk anak tidak dikenakan biaya tambahan untuk bf nya fasilitas hotel cukup lengkap mayoritas turis yang menginap di sini,salah tua surabaya strategis tunjung plaza nuansa ala ala bal asri bersih luas makan inap suami th th biaya bf lengkap mayoritas turis inap
5,"Hotel di tengah kota surabaya, sangat adem karena banyak pepohonan, tidak terasa seperti sedang ada di surabaya yang panas. Hotelnya sangat indonesia.  Kamarnya bagus dan sangat luas. Amenities lengkap. Bersih juga.  Breakfast sangat lengkap juga, rasanya pun enak.  Hotelnya hotel lama, semoga tetap terjaga kualitas barang di kamar, kebersihan kamar, keramahan staff dan rasa makanan breakfast nya.",hotel di tengah kota surabaya sangat adem karena banyak pepohonan tidak terasa seperti sedang ada di surabaya yang panas hotel sangat indonesia kamar bagus dan sangat luas amenities lengkap bersih juga breakfast sangat lengkap juga rasanya pun enak hotel hotel lama semoga tetap terjaga kualitas barang di kamar kebersihan kamar keramahan staff dan rasa makanan breakfast nya,kota surabaya adem pohon asa surabaya panas indonesia luas amenities lengkap bersih lengkap moga jaga kualitas barang bersih ramah makan
5,"Berada di jantung kota Surabaya, hotel ini menawarkan pesona tersendiri. Yakni hotel dengan konsep tropical resort dengan taman outdoor yang berhawa segar. Rasanya seperti tidak berada di kota Surabaya yang terkenal dengan suhunya yang telah relatif panas. Pepohonan di taman membuat suasana hotel menjadi berbeda.  Untuk kamar, kami mendapatkan kamar berukuran besar dan nyaman. Jendela kamar berukuran besar sehingga bisa melihat pemandangan luar.  Servisnya oke, staf hotel ramah dan komunikatif.  Food and beverage juga oke. Mulai dari sarapan gaya Western, Eastern, Nusantara. Lokasi restoran bisa memilih indoor maupun outdoor yang berada di taman tropis.  Secara keseluruhan hotel ini bagus dan menyenangkan. Great experience here.",berada di jantung kota surabaya hotel ini menawarkan pesona tersendiri yakni hotel dengan konsep tropical resort dengan taman outdoor yang berhawa segar rasanya seperti tidak berada di kota surabaya yang terkenal dengan suhunya yang telah relatif panas pepohonan di taman membuat situasi hotel menjadi berbeda untuk kamar kami mendapatkan kamar berukuran besar dan nyaman jendela kamar berukuran besar sehingga bisa melihat pemandangan luar servisnya oke staf hotel ramah dan komunikatif makanan and beverage juga oke mulai dari sarapan gaya western eastern nusantara lokasi restoran bisa memilih indoor maupun outdoor yang berada di taman tropis secara keseluruhan hotel ini bagus dan menyenangkan great experience here,jantung kota surabaya tawar pesona konsep tropical resort outdoor hawa segar kota surabaya kenal suhu relatif panas pohon situasi beda ukur jendela ukur pandang servis staf ramah komunikatif makan and beverage sarap gaya western eastern nusantara pilih indoor outdoor tropis senang great experience here
4,"Disana banyak tumbuhan jadi harus sering dibersihkan daun yg berguguran. Lampu kamar redup harusnya lampu hotel perkotaan warna putih. Jendela kamar kurang tebal & AC tidak seberapa terasa meskipun sudah di set paling dingin. Breakfast banyak pilihan menu tetapi kurang condiment, room service rasanya lumayan. Pelayanan bagus bisa dipertahankan untuk semua karyawannya. Banyak spot foto menarik & estetik di tiap sudut hotel.",disana banyak tumbuhan jadi harus sering dibersihkan daun yang berguguran lampu kamar redup harusnya lampu hotel perkotaan warna putih jendela kamar kurang tebal ac tidak seberapa terasa meskipun sudah di set paling dingin breakfast banyak pilihan menu tetapi kurang condiment room service rasanya lumayan pelayanan bagus bisa dipertahankan untuk semua karyawannya banyak spot foto menarik estetik di tiap sudut hotel,tumbuh bersih daun gugur lampu redup lampu kota warna putih jendela tebal ac asa set dingin pilih menu condiment room service lumayan layan tahan karyawannya spot foto tarik estetik sudut
